"Name","URL","FirstParagraph"
"Amir H. Fallah","http://www.thethirdline.com/artists/amir-h-fallah/biography/","Amir H. Fallah was born in Tehran, Iran in 1979. He received his BFA from Maryland Institute College of Art in 2001 and his MFA from University of California Los Angeles in 2005.  His artistic oeuvre encompasses painting, drawing and sculpture/installation, with collage and complex patterning forming a large part of the visual vocabulary. The works are decidedly ornate but present a critical observation of the deconstruction and appropriation of portraiture in all its various forms. In his more recent body of work, aside from unraveling a different perspective to art historical portraiture traditions and the dynamics of modern day art collection and art making, he also reflects upon concerns of identity and representation that are central to his practice. "
"Arwa Abouon","http://www.thethirdline.com/artists/arwa-abouon/biography/","Born in Tripoli, Libya of Libyan and Tunisian parents, Arwa Abouon is a young photographer and video artist currently based in Montreal, Canada. Through her playful photographs and graphic interventions, she questions her own place within a so-called Western culture on the one hand and her upbringing in a Muslim household on the other. Arwa investigates mechanisms at play when learning and acquiring knowledge, and the different shapes that this knowledge takes on as it is transferred from one generation to another. Balancing playful humor, irreverent re-appropriation and respectful homage, Arwa's work is always visually impactful and intricate in the subtleties within its voices. Working predominantly in photography, the artist spans a wide array of mediums, such as video, illustration, graphics on light boxes as well as the occasional site specific installation."
"Babak Golkar","http://www.thethirdline.com/artists/babak-golkar/biography/","Babak Golkar was born in Berkeley in 1977. He spent most of his formative years in Tehran until 1996 when he migrated to Vancouver, where he obtained a Bachelor of Fine Arts in Visual Arts from Emily Carr Institute in 2003 and a Masters of Fine Arts from the University of British Columbia in 2006. Since then, Babak has been researching diverse subjects and cultivating a conceptual vocabulary and has developed an active career exhibiting works globally. His subjects of research have especially emerged from an interest in spatial analysis in relation to our contemporary systemic conditions that are overpowering human conditions. In merging and examining originally discrete systems and forms, asserting underlying unity as well as antagonistic elements, Babak engages a critical inquiry into cultural and socio-economical registers."
"Ebtisam Abdulaziz","http://www.thethirdline.com/artists/ebtisam-abdulaziz/biography/","Ebtisam Abdulaziz is a multidisciplinary Emirati artist and writer based in Sharjah, UAE. Reflecting her Bachelor’s Degree in Science & Mathematics, Ebtisam incorporates her unique perspective on mathematics and the structures of systems to explore issues of identity and culture through installations, performance pieces and works on paper."
"Farhad Moshiri","http://www.thethirdline.com/artists/farhad-moshiri/biography/","Farhad Moshiri was born in Shiraz, Iran, and graduated from the California Institute of the Arts (CalArts) in 1984. Living between Tehran and Paris,  Farhad has developed a personal language in which to discuss commonalities in Iranian and Western cultures. Inspired by Pop art, Farhad overturns both pop culture and highbrow imagery by transforming it into figurative artwork. His pieces are made using everyday objects as well as sparkly, luxurious materials such as pearls, crystals, sequins, and gold leaf. Though his work appears to be playful and decorative, beyond the shimmering surfaces Farhad casts a more cynical and often critical eye. He addresses the flaws of contemporary Iran all while toying with its traditional forms; and acknowledges the appeal of the Western world in addition to its limitations."
"Fouad Elkoury","http://www.thethirdline.com/artists/fouad-elkoury/biography/","Fouad Elkoury has been at the forefront of photographic practices in Lebanon and the wider Middle East for quite some time. In 1982, he covered the Israeli invasion of Beirut and in 1984 published Beyrouth Aller-Retour, a book documenting the bomb-shocked city - a prelude to his sophomore project Beirut City Centre in 1991, and ignited a distinguished bibliography which continues to this day."
"Golnaz Fathi","http://www.thethirdline.com/artists/golnaz-fathi/biography/","A trained calligrapher, Golnaz Fathi has turned the literary art-form on its head by skillfully transforming known language into form and composition. She first discovered calligraphy while studying graphic design at Tehran’s Azad University, which she later left to train for six years at the Calligraphy Association of Iran. Practicing the script for over seven hours a day eventually paid off – she was the first woman to win an award for Ketabat (a genre of calligraphy) – but she soon tired of the discipline’s rules and regulations. Hence, she created a new form of expression in her paintings; an imaginary language deeply rooted in Persian tradition while simultaneously hinting at a social renaissance."
"Hassan Hajjaj","http://www.thethirdline.com/artists/hassan-hajjaj/biography/","Born in Larache, Morocco in 1961, Hajjaj arrived in London in his teens and grew up amid the emerging club culture in the UK."
"Hayv Kahraman","http://www.thethirdline.com/artists/hayv-kahraman/biography/","Hayv Kahraman was born in Baghdad, Iraq 1981. She lives and works in Oakland, Ca and is a graduate of the Academy or art and design in Florence, Italy."
"Huda Lutfi","http://www.thethirdline.com/artists/huda-lutfi/biography/","Huda Lutfi is a cultural, feminist historian by professional training whose work in the field of the visual arts translates these affiliations in multiple complex ways. In her artwork, Huda excavates and makes vocal the silenced voices and marginalized spaces that cross various historical and cultural contexts mapping, as it does the politics of her engagement both as a historian and as an artist. Cultural hybridity is Huda's genealogy; it lies at the heart of her work enabling her to travel among and dialogue with many artistic traditions with which she shares the desire to liberate the human spirit and imaginary while tracing an inner meditative state of being."
"Joana Hadjithomas and Khalil Joreige","http://www.thethirdline.com/artists/joana-hadjithomas-khalil-joreige/biography/","Born in Beirut, Joana Hadjithomas and Khalil Joreige have worked together as both artists and filmmakers, shooting fictions films and documentaries.  For the last 15 years, they have focused on the images, memory and history of their country, Lebanon, its wars, its conflicts, its political battles. As photographers, video and film-makers, they have presented their works in exhibitions, collections of images and films. They re-appropriate political documentation, archives, landscapes, symbolic sites to create critical images by adapting them, by making their deterioration felt and by stressing the effects of time and memory as both very personal and collective."
"Laleh Khorramian","http://www.thethirdline.com/artists/laleh-khorramian/biography/","Laleh Khorramian’s work takes theater and the spectacle as its point of departure, to explore aspects of human nature and emotional states of consciousness, and the possibilities of drawing as a medium. Her work combines animation and drawing in order to capture and emphasizes particular stages of the art-making process. These animations look to cinema in its juxtaposition of moving image and sounds. They look to drawing and printmaking for the possibilities of chance accidents, the manipulation of found material, and the mark of the human trace."
"Lamya Gargash","http://www.thethirdline.com/artists/lamya-gargash/biography/","Lamya Gargash graduated from the American University of Sharjah in 2004, followed by a Masters degree in Arts in Communication Design from Saint Martins in the UK in 2007. She has won a number of awards for her work in film and photography. In 2004, she received first prize in the Emirates Film Festival, as well as the Ibdaa Special Jury Award for her movie titled Wet Tiles. Lamya’s first artist book, Presence, is a photographic series which documents recently vacated houses and structures in the United Arab Emirates that have been abandoned or left for demolition."
"Monir Shahroudy Farmanfarmaian","http://www.thethirdline.com/artists/monir-shahroudy-farmanfarmaian/biography/","Monir was born in Qazvin, Iran, in 1924, where she studied Fine Arts at the Tehran University. She was one of the first Iranian students to travel to the United States after World War II where she completed her studies at Cornell University. Having graduated from Parsons School of Design in 1949, she became a Member of the New York Art Students' League (1950-53)."
"Pouran-Jinchi","http://www.thethirdline.com/artists/pouran-jinchi/biography/","Pouran Jinchi is an Iranian-born, New York artist who borrows from her home culture's traditions of literature and calligraphy to pursue her own aesthetic investigations. Having been trained in calligraphy, she finds the relation between words and forms, natural or non-objective, deeply intertwined. In Pouran's recent work, viewers will appreciate her increasingly detailed focus on the form of language as subject matter."
"Rana Begum","http://www.thethirdline.com/artists/rana-begum/biography/","Rana Begum received her Fine Art Degree in painting at the Chelsea College of Art and Design and her MFA in painting from the Slade School of Fine Art, both of London."
"Sahand Hesamiyan","http://www.thethirdline.com/artists/sahand-hesamiyan/biography/","Sahand Hesamiyan, born in 1977 in Tehran, graduated from Tehran University with a BFA in Sculpture. He is the member of the managing board of the 6th Tehran Contemporary Sculpture Biennial. Sahand currently lives and works in Tehran."
"Sara Naim","http://www.thethirdline.com/artists/sara-naim/biography/","Sara Naim (b. 1987, London) is a Syrian photographer who grew up between Dubai and London. She most recently received her MFA in Fine Art Media at The Slade School of Fine Art, London, after having moved to New York to work with Ryan McGinley. In 2010, Sara completed her BA Hons. (Photography) from London College of Communication."
"Sherin Guirguis","http://www.thethirdline.com/artists/sherin-guirguis/biography/","Sherin Guirguis (b. Egypt, 1974) received her BA from the College of Creative Studies at the University of California, Santa Barbara in 1997 and her MFA from the University of Nevada, Las Vegas in 2001. Sherin produces work that investigates the frictions between the contemporary and the traditional. Her work engages both formal and social concerns by juxtaposing the reductive Western language of minimalist aesthetics with that of Middle Eastern ornamentation."
"Shirin Aliabadi","http://www.thethirdline.com/artists/shirin-aliabadi/biography/","An Art History and Archaeology graduate of the University of Paris, Shirin Aliabadi is an interdisciplinary artist based in Tehran."
"Slavs and Tatars","http://www.thethirdline.com/artists/slavs-and-tatars/biography/","Founded in 2006, Slavs and Tatars is a faction of polemics and intimacies devoted to an area east of the former Berlin Wall and west of the Great Wall of China known as Eurasia. The collective’s work spans several media, disciplines, and a broad spectrum of cultural registers (high and low) focusing on an oft-forgotten sphere of influence between Slavs, Caucasians and Central Asians."
"Sophia Al Maria","http://www.thethirdline.com/artists/sophia-al-maria/biography/","Sophia Al Maria is an artist, writer, and filmmaker. For the past few years, she has been carrying out research around the concept of Gulf Futurism. Her primary interests are around the isolation of individuals via technology and reactionary Islam, the corrosive elements of consumerism and industry and the erasure of history and the blinding approach of a future no one is ready for. She explores these ideas with certain guidebooks and ideas including but not limited to, Zizek’s The Desert of the Unreal, As-Sufi’s Islamic Book of the Dead, as well as imagery from Islamic eschatology, post humanism and the global mythos of Science Fiction."
"Tarek Al-Ghoussein","http://www.thethirdline.com/artists/tarek-al-ghoussein/biography/","Tarek Al-Ghoussein was born in Kuwait in 1962. He received his BFA (Photography) from New York University in 1985 and his MA (Photography) from the University of New Mexico in 1989. As a Kuwaiti of Palestinian origin, much of Tarek’s work deals with how his identity is shaped in a context of inaccessibility and loss. His work explores the boundaries between landscape photography, self-portraiture and performance art."
"Youssef Nabil","http://www.thethirdline.com/artists/youssef-nabil/biography/","Born in Egypt in 1972 and based in New York, Youssef Nabil grew up in a Cairo drenched in the golden age cinema of Hollywood on the Nile: a black and white film world in which he nostalgically recalls the glamour, the ease, the elegance and the melodrama.   His photos evoke the deliciously outmoded feel of the photo-novels that accompanied cinema at the time and highlight in each portrait the extraordinary character of his models, distinguished artists, actors, singers and friends."
"Zineb Sedira","http://www.thethirdline.com/artists/zineb-sedira/biography/","Zineb Sedira was born in Paris to Algerian parents in 1963. She studied at the Central St Martin’s School of Art and the Slade School of Art, followed by research studies at the Royal College of Art. The artist's photographs and video installation use the perspective of her own experience to frame questions about language, transmission, memory and mobility."
"Karim Aïnouz","http://www.sharjahart.org/people/people-by-alphabet/a/aanouz-karim","Karim Aïnouz is a Brazilian-Algerian filmmaker and visual artist, presently living and working in Berlin. He holds a degree in Architecture from the University of Brasilia and in Cinema Studies from New York University. He then enrolled in the Program of Independent Studies of the Whitney Museum of American Art. Aïnouz’s feature debut, Madame Satã, premiered in 2002 at the Cannes Film Festival’s Un Certain Regard. His next films, Suely in the Sky and I Travel Because I Have To, I Come Back Because I Love You (co-directed with Marcelo Gomes) premiered in the Venice Film Festival’s Orizzonti, in 2006 and 2009 respectively. His short films include Paixão Nacional (1996) and Seams (1993). His installations have been shown at the Whitney Museum of American Art Biennial (1997) and the São Paulo Biennial (2004). He is currently editing Violeta, his most recent film."
"Dimi Mint  Abba","http://www.sharjahart.org/people/people-by-alphabet/a/abba-dimi-mint","Dimi Mint Abba is one of the best known members of the griot families in Mauritania, which means that Dimi Mint Abba’s place in music and storytelling preceded her by three generations. From this nest of artistry arose her profound perspective, and her life cannot be separated from the music and stories that carry it. This brought Dimi to international fame with the 1977 award-winning song “Sawt Elfan”, in which she boldly decries that the role of the artist in society is far greater than that of any warrior. Dimi released her first internationally-acclaimed album with her family in 1990 and has performed around the world. She remains the most sought-after griot in Mauritania, performing at ceremonies of all kinds. For many, the significance of an event is measured by the presence of this powerful, inspiring artist."
"Hamra Abbas","http://www.sharjahart.org/people/people-by-alphabet/a/abbas-hamra","Hamra Abbas has a hugely versatile practice, straddling a range of media in work that often takes a playful look at tradition."
"Jumana Emil  Abboud","http://www.sharjahart.org/people/people-by-alphabet/a/abboud-jumana-emil","Jumana Emil Abboud uses drawing, video, performance, objects and text to navigate themes of memory, loss and resilience. She has consistently reflected a Palestinian cultural landscape in which the struggle for continuity amid the wider political context necessitates a constant process of metamorphosis and ingenuity. She has participated in numerous international group exhibitions over the last decade. From 2009 this included the Venice Biennale, the Istanbul Biennial, the Bahrain National Museum, Manama, L’Institut du Monde Arabe, Paris, The Jerusalem Show, and Sentences on the Banks and other Activities exhibition at Darat al Funun, Amman."
"Mohamed Abdelkarim","http://www.sharjahart.org/people/people-by-alphabet/a/abdelkarim-mohamed","b. 1983, Minya, EgyptLives and works in Cairo, Egypt"
"Youssef  Abdelkė","http://www.sharjahart.org/people/people-by-alphabet/a/abdelke-youssef","Youssef Abdelké is a painter and engraver. He graduated from the Faculty of Fine Arts, Damascus and the École nationale supérieure des Beaux-Arts, Paris. He obtained a doctorate in Fine Arts from the University of Paris VIII. Abdelké has participated in several exhibitions including the Sharjah Biennial (1995 and 2001), Arab Studios (Khan Asaad Pasha presented by Atassi Gallery, Damascus and Beirut, 2001), the 8th Cairo Biennial (2001), the Ayyam Gallery opening (Damascus, 2006 and Dubai, 2007) among others. Abdelké’s artwork is part of the British Museum collection, the Arab World Institute, Amman Museum of Modern Art and the National Museum of Kuwait. His work also includes posters, book designs, illustrations for periodicals and children’s books and caricatures. He has published several caricatures and writes regularly for numerous Arab and international magazines and newspapers."
"Ebtisam Abdulaziz","http://www.sharjahart.org/people/people-by-alphabet/a/abdulaziz-ebtisam","Ebtisam Abdulaziz is an artist, writer and curator. Her work has been shown at Dubai’s Third Line Gallery during the Al Bastakiya Art Fair (2009) and at the Sharjah Art Museum (2007). Her work has also been shown in the Denmark National Museum, Copenhagen (2010), the UAE’s platform at the 2009 Venice Biennale, the Kunst Museum, Bonn and the Singapore Biennial (2006). In 2009, she curated the annual Emirati Fine Arts exhibition at the Sharjah Art Museum."
"Adel Abidin","http://www.sharjahart.org/people/people-by-alphabet/a/abidin-adel","Adel Abidin began his career as a painter. His exploration of methods and mediums that enable the communication of difficult or elusive experiences has resulted in a practice that also encompasses video, installation, photography and new media. He has exhibited prolifically in group and solo exhibitions such as those at the Helsinki Museum of Contemporary Art, the Centre of Contemporary Art, Salamanca and Location One Gallery in New York City, and the 52nd Venice Bienniale. In 2011, Abidin’s new work will feature in solo exhibitions in Milan, Paris and Amman, as well as in the Iraq Pavilion at the Venice Biennale."
"Sarah  Abu Abdullah","http://www.sharjahart.org/people/people-by-alphabet/a/abu-abdullah-sarah","b. 1990, Qatif, Saudi ArabiaLives and works in Qatif"
"Saâdane  Afif","http://www.sharjahart.org/people/people-by-alphabet/a/afif-saadane","b. 1970, Vendome, FranceLives and works in Berlin, Germany"
"Ravi Agarwal","http://www.sharjahart.org/people/people-by-alphabet/a/agarwal-ravi","b. 1958, New Delhi, India  Lives and works in New Delhi"
"Atfal  Ahdath","http://www.sharjahart.org/people/people-by-alphabet/a/ahdath-atfal","Atfal Ahdath is a beirut-based collective made up of Vartan Avakian, Hatem Imam and Raed Yassin."
"Haig Aivazian","Artist, Curator","http://www.sharjahart.org/people/people-by-alphabet/a/aivazian-haig"
"Jananne  Al-Ani","http://www.sharjahart.org/people/people-by-alphabet/a/al-ani-jananne","b. 1966, Kirkuk, IraqLives and works in London, UK"
"Ammar  Al Attar","http://www.sharjahart.org/people/people-by-alphabet/a/al-attar-ammar","Born 1981, Dubai, UAELives and works in Ajman, UAE"
"Zeinab  Al Hashemi","http://www.sharjahart.org/people/people-by-alphabet/a/al-hashemi-zeinab","b. 1986, Dubai, UAELives and works in Dubai"
"Mounir  Al-Shaarani","http://www.sharjahart.org/people/people-by-alphabet/a/al-shaarani-mounir","b. 1952, Al Salamiya, Syria"
"Nevin  Aladag","http://www.sharjahart.org/people/people-by-alphabet/a/aladag-nevin","b. 1972, Van, Turkey"
"Halil Altindere","http://www.sharjahart.org/people/people-by-alphabet/a/altindere-halil","Working mainly with photography and video, Halil Altindere explores political, social and cultural codes and constraints often by manipulating or reconstructing the means and materials of official representation."
"Ayreen Anastas","http://www.sharjahart.org/people/people-by-alphabet/a/anastas-ayreen","Brooklyn-based Ayreen Anastas uses text, film, video, audio and the internet to create work that focuses on legal and discursive shifts around differing notions of security and the subsequent effects on everyday life."
"Jonathas de Andrade","http://www.sharjahart.org/people/people-by-alphabet/a/andrade-jonathas-de","Jonathas de Andrade was born in Maceió in 1982. He co-authored the book collection Amor e Felicidade no Casamento (2008) and developed the research project Documento Latinamerica - Condução à Deriva (2009). He recently participated in the São Paulo Biennial (2010) and  the Mercosur Biennial (2009)."
"Hala Al Ani","http://www.sharjahart.org/people/people-by-alphabet/a/ani-hala-al","Hala Al-Ani currently lives and works in Dubai. She graduated in 2009 with a Bachelor in Visual Communication from the School of Architecture and Design, American University of Sharjah. In her senior year, she won an award for her work in the Design Department and also received an honourable mention in the 2010 Sharjah Islamic Bank student research award for her project Communicating Provisions for the Future. Her work featured in the Sheikha Manal Young Artist Award Exhibition (2008) and in the Bidoun Portfolio Project (2009)."
"Ziad Antar","http://www.sharjahart.org/people/people-by-alphabet/a/antar-ziad","Lebanese photographer Ziad Antar uses photography and video in work where the artist's quiet and reflective stance reveals the social and political structures that influence daily life."
"Alfredo Aquilizan","http://www.sharjahart.org/people/people-by-alphabet/a/aquilizan-alfredo","Alfredo Juan Aquilizan"
"Isabel  Aquilizan","http://www.sharjahart.org/people/people-by-alphabet/a/aquilizan-isabel","Alfredo Juan Aquilizan"
"Rasheed Araeen","http://www.sharjahart.org/people/people-by-alphabet/a/araeen-rasheed","b. 1935, Karachi, PakistanLives and works in London, United Kingdom"
"Juan Araujo","http://www.sharjahart.org/people/people-by-alphabet/a/araujo-juan","Using the traditional medium of oil on wood, Araujo creates works associated with the history of painting, photography, publications, catalogues, magazines, postcards and posters."
"Burak  Arikan","http://www.sharjahart.org/people/people-by-alphabet/a/arikan-burak","b. 1976, Istanbul, TurkeyLives and works in Istanbul and New York, New York, USA"
"Doug  Ashford","http://www.sharjahart.org/people/people-by-alphabet/a/ashford-doug","Doug Ashford is Associate Professor teaching design, sculpture and theory at Cooper Union for the Advancement of Science and Art in New York. His principal art practice from 1982 to 1996 was as a member of Group Material whose collective work has recently been published as Show and Tell: A Chronicle of Group Material (Four Corners Books, 2010).  Since then he has gone on to paint, write, and produce public projects which engage with the social imagination. His most recent project was Who Cares (Creative Time, 2006)."
"Tarek Atoui","http://www.sharjahart.org/people/people-by-alphabet/a/atoui-tarek","Atoui is an electro-acoustic musician who initiates and curates multidisciplinary interventions, events, concerts and workshops in Europe and the Middle East."
"Ahmed El Attar","Theatre director","http://www.sharjahart.org/people/people-by-alphabet/a/attar-ahmed-el"
"Kader Attia","http://www.sharjahart.org/people/people-by-alphabet/a/attia-kader","Raised in a French North African community, Kader Attia explores the complex relationship between East and West, Europe and its immigrants and the conflicts of identity that lie beneath the increasing turmoil in French society today."
"Rania Attieh","http://www.sharjahart.org/people/people-by-alphabet/a/attieh-rania","Rania Attieh is from Tripoli, Lebanon. She is an MFA graduate in Media Art Production as a writer/director of fiction from the City College of New York. She has recently received the New York Women in Film and Television grant. Her thesis film was awarded ‘Best Fiction film’ at the CCNY Cityvisions showcase."
"Vartan Avakian","http://www.sharjahart.org/people/people-by-alphabet/a/avakian-vartan","Vartan Avakian employs video, installation, photography and other media drawn from popular culture in order to examine the tools and processes of modern cultural production. He studied Communication Arts at Lebanese American University and is currently pursuing graduate studies in Architecture and Urban Culture at the Universitat Politècnica de Catalunya and the Centre de Cultura Contemporània de Barcelona. Avakian lives and works in Beirut and is a founding member of the art collective Atfal Ahdath."
"Hicham Ayouch","http://www.sharjahart.org/people/people-by-alphabet/a/ayouch-hicham","A former journalist, Hicham Ayouch worked for a few years in French television before shifting his career to writing and film directing. His first film, The King’s Queens (2005) explored the status of women in Morocco and Angel’s Dust (2006) was about autistic teenagers. He has since directed two feature-length fiction films, Edges of the Heart (2006) and Cracks (Fissures, 2008)."
"Aras  Özgün","http://www.sharjahart.org/people/people-by-alphabet/o/azgan-aras","Aras Özgün is a media artist and scholar living and working in New York. He was born on the Black Sea coast of Anatolia, and grew up in Ankara. He studied Political Sciences and Sociology at the Middle East Technical University in Ankara. He has an MA in Media Studies and a PhD in Sociology from the New School for Social Research University, New York. He has published articles on politics, media and the arts in various Turkish and English scholarly journals. As an artist he has made a number of experimental videos, documentaries and multi-media works that have been exhibited in various venues in Turkey, the US, Australia, Egypt, Germany and Britain. He is currently teaching Media Theory and Digital Media at the Media Studies Department of the New School, New York."
"Sherif El Azma","http://www.sharjahart.org/people/people-by-alphabet/a/azma-sherif-el","Cairo-based artist Sherif El Azma has worked extensively in film and video, producing short, experimental pieces such as Powerchord Skateboard, documentary shorts like Interview with a Housewife and full-length television pilots for Egyptian Soap Opera. His 2001 film Donia / Amar was screened as part of Past of the Coming Days."
"Samira Badran","http://www.sharjahart.org/people/people-by-alphabet/b/badran-samira","Samira Badran’s project for the 9th Sharjah Biennial Have a Pleasant Stay! was a visual and physical metaphor of the concept of suffocation and imprisonment based on the experience of passing through the dense and claustrophobic Qalandia checkpoint between Ramallah and Jerusalem."
"Ismaïl Bahri","http://www.sharjahart.org/people/people-by-alphabet/b/bahri-ismail","b. 1978, Tunis, Tunisia"
"Zbyněk  Baladrán","http://www.sharjahart.org/people/people-by-alphabet/b/baladran-zbynaek","Zbyněk Baladrán is a visual artist and curator born in 1973 in Prague where he currently resides. He is also the co-curator, with Vít Havranek, of the long term project Monument to Transformation and was part of the team of curators (Alexandria Contemporary Arts Forum, Chamber of Public Secrets, and tranzit.org) for Manifesta 8, 2010."
"Monika Börgmann","http://www.sharjahart.org/people/people-by-alphabet/b/bargmann-monika","German born Monika Börgmann studied Arab philology and political sciences in Bonn and Damascus."
"Matthew  Barney","http://www.sharjahart.org/people/people-by-alphabet/b/barney-matthew","b. 1967, San Francisco, California, USA"
"Yto Barrada","http://www.sharjahart.org/people/people-by-alphabet/b/barrada-yto","Yto Barrada developed her interest in photography while documenting roadblocks on the West Bank in Jerusalem for her political science dissertation."
"Judith  Barry","http://www.sharjahart.org/people/people-by-alphabet/b/barry-judith","Judith Barry is a New York-based artist and writer whose work crosses a number of disciplines including performance, installation, film and video, sculpture, architecture, photography and new media. She has exhibited prolifically in the United States, Europe and Asia and has received awards including the Kiesler Prize for Architecture and the Arts and Best Pavilion and Audience Award at the 8th Cairo Biennale. A survey of her work, Judith Barry: Body Without Limits is currently travelling in Europe and was most recently installed at the Berardo Museum in Lisbon, Portugal, in Spring 2010."
"Shumon Basar","http://www.sharjahart.org/people/people-by-alphabet/b/basar-shumon","Shumon Basar is a writer."
"Jenna  Bass","http://www.sharjahart.org/people/people-by-alphabet/b/bass-jenna","Jenna Bass is South African director. She has also worked as a music video director, cinematographer, band photographer and magician. She has directed over ten short films and seven music videos. The Tunnel (2009) premiered at the Sundance Film Festival in January 2010 and was in competition at the Berlinale 2010."
"Sulayman Al Bassam","Theatre","SABAB - Sulayman Al Bassan Theatre"
"Jürgen Böttcher","http://www.sharjahart.org/people/people-by-alphabet/b/battcher-jargen","Jürgen Böttcher, also known as the painter “Strawalde”, was born in Germany in 1931. His first and only movie, Jahrgang '45 (Born in '45) about the GDR beatnik generation, could not be finished  in the GDR after having been censored. Having made more than 30 artistically provocative documentary films, he has attained cult status among filmmakers in Germany."
"Luz Maria  Bedoya","http://www.sharjahart.org/people/people-by-alphabet/b/bedoya-luz-maria","b. 1969, Talara, Peru Lives and works in Lima, Peru"
"Zanny Begg","http://www.sharjahart.org/people/people-by-alphabet/b/begg-zanny","Zanny Begg was born in 1972. She is an inter-disciplinary artist whose work revolves around the politics and architecture of space. She is a founding member of the art collective You Are Here and co-initiator of There Goes The Neighborhood. She lives in Sydney."
"Bahar  Behbahani","http://www.sharjahart.org/people/people-by-alphabet/b/behbahani-bahar","Bahar Behbahani is a multidisciplinary artist living and working in New York and Tehran. Behbahani has exhibited her paintings and videos in numerous locations throughout Europe, Asia and the United States including the United Nations, Geneva; Asian Art Biennial, Bangladesh; Miramar Museum, Zagreb; National Museum of Women in the Arts, Washington D.C.; Queens Museum, New York; and Tribeca Film Festival, New York. Behbahani's video, SUSPENDED, was selected as ‘Best in Show’ by Carrie Springer, Senior Curatorial Assistant at the Whitney Museum of American Art in New York as part of the 13th Annual International Exhibition of Women’s Art (2007)."
"Nacera Belaza","Choreographer and dancer","http://www.sharjahart.org/people/people-by-alphabet/b/belaza-nacera"
"Néjib Belkadhi","Filmmaker","http://www.sharjahart.org/people/people-by-alphabet/b/belkadhi-najib"
"Roberto Bellini","http://www.sharjahart.org/people/people-by-alphabet/b/bellini-roberto","Roberto Bellini earned a degree in Drawing from the School of Fine Arts, Federal University of the State of Minas Gerais, Brazil and recently completed his masters in Transmedia at the University of Texas, Austin. Over the past few years, his work has been shown in numerous film and video festivals across Europe and the Americas."
"Amino Belyamani","http://www.sharjahart.org/people/people-by-alphabet/b/belyamani-amino","Born and raised in Casablanca, Belyamani began playing the piano at the age of six. Throughout his childhood, he participated in many national and international piano competitions and received several awards and prizes from renowned international pianists such as France Clidat. After spending a couple of years in France, he became increasingly interested in jazz and improvisational musical forms. As well as being a pianist and a composer for several collectives, Amino plays traditional Moroccan folk percussion and lead drums from the Ewe speaking people of Ghana. Belyamani’s music reflects the diversity of his interests, which usually translates into a blend of complex African rhythms, Arabic melodies, western classical music and jazz. Amino has performed with Albert “Tootie” Heath, Joe La Barbera, Darek Oles, Larry Koonse, Vinny Golia, Alfred Ladzekpo, Houman Pourmehdi, Hamid el Kasri, Hassan Hakmoun, Charlie Haden and many others. He lives in New York."
"Mustapha Benfodil","http://www.sharjahart.org/people/people-by-alphabet/b/benfodil-mustapha","Benfodil is an Algerian writer and journalist. He began his career writing poetry, novels and short stories. One of his three novels was awarded the Best Novel of 2003 in Algeria. El-Khabar newspaper awarded him the International Omar Ouartilane Prize for Press Freedom (2008). His collected poems and short stories will be published soon in Algeria. His plays were shown and/or published only in France. In 2009, he launched his Scattered Plays – Wild Readings across Algeria’s ‘underground’. Benfodil lives and works in Algeria and writes for Al-Watan daily newspaper."
"Omar  Berrada","http://www.sharjahart.org/people/people-by-alphabet/b/berrada-omar","Omar Berrada is a writer, translator and critic who grew up in Casablanca and lives in Paris. Between 2004 and 2007, he was a producer for French National Radio and hosted La nuit la poésie and Lumières d’août on France Culture. He curated the Tangier International Book Salon in 2008, and hosted talks and conferences at the Centre Pompidou in Paris between 2006 and 2009. He currently directs the library and translation centre at Dar al-Ma’mûn in Marrakesh (www.dam-arts.org). He is a member of Double Change, a French and American association devoted to poetry and translation, and the intercultural arts foundation Tamaas.  He recently co-translated into French. Jalal Toufic’s The Withdrawal of Tradition Past a Surpassing Disaster (forthcoming, Les Prairies ordinaires, 2011)."
"Alexis Bhagat","http://www.sharjahart.org/people/people-by-alphabet/b/bhagat-alexis","Alexis Bhagat is a writer operating in the art world, interested in language and power. His work takes the form of sound installations, radio broadcasts, mail-art and texts. He is co-curator, with Lauren Rosati, of ((audience)), a travelling sound art festival investigating the cinema as concert hall."
"Alan Bishop","http://www.sharjahart.org/people/people-by-alphabet/b/bishop-alan","As a founding member of the experimental music/performance group Sun City Girls, Alan Bishop has composed for, performed on and/or produced many critically acclaimed recordings over the past 30 years and is a highly influential elder of the American Underground music world. His Abduction Records label was founded in 1993 and is still operating today with 45 releases to date. He is also a music researcher, filmmaker, collage artist, writer and archivist incorporating areas as diverse as folk, jazz and improvisational music, manifesto text documents and travel journals, spoken word rants on conspiracy theory and various Middle Eastern and Asian cultural influences into his own processing laboratory. Besides continuing a solo career as Alvarius B., Alan’s current obsession is to expose great lost treasures of sound, ceremony and experiences from under-appreciated musical legacies across the world through Sublime Frequencies, the record label he has managed and operated as majority owner since 2003."
"Doris Bittar","http://www.sharjahart.org/people/people-by-alphabet/b/bittar-doris","Doris Bittar’s visual explorations and reinterpretations of historical patterns and themes emerge from an intersection between the artist’s own personal history and that of the Middle East."
