Name,FirstParagraph
Noha Faoud Al-Ghalib,"Noha Faoud Al-Ghalib is a photographer from Jeddah. She is a member of the House of Photographers in Saudi Arabia and has had solo exhibitions in the Middle-East, Spain and France since 1999. She works in black and white and with a Polaroid Camera. The polaroid pictures she transfers to paper to which she adds watercolours."
Noma  Omran,"Noma Omran earned a degree in voice for opera and harp performance in 1977 from the Higher Institute of Music in Damascus, later specialising in voice at the Orléans Institute of Music in France (1996-7). She obtained a diploma in opera voice from the Janáček Institute in Brno, Czech Republic (2001) and presented many concerts with the Czech National Orchestra. Omran began her study of Oriental music under the instruction of Muhammad Qadri Dalal and his ensemble. She worked in the theatre as a singer, actress and composer, and has performed across various venues in Holland, France, Canada, Syria, Lebanon, Egypt, Iraq, Morocco, Tunisia, Jordan and Kuwait. She also excelled in the performance of Syrian texts and took these performances on the road to worldwide. Omran established a historical precedent when she became the first woman in the world hosted at the Zen ritual at the Daitoku-Ji Temple in Japan."
Nora Almazrooa,"Born 1981 in Jeddah, Saudi Arabia"
Nouf Alhimiary,"Born 1992 in Jeddah, Saudi Arabia"
Noura Bouzo,"Noura Bouzo (1983) says her art is about the notion of not belonging, but it appears even more to be an effort to negotiate the terms of her desired homecoming. She may not be much different from the unlikely Polar man who returns from a desert journey bringing a well packed camel on to the ice. There is both danger and duality in such a venture. When the ice melts, all of home will drown with the camel. When the ice holds, the camel may freeze but the packs, they might be saved."
OFFICE Kersten Geers David Van Severen,"est. 2002, located in Brussels, Belgium, since 2006"
Ola Hejazi,"Ola Hejazi last listed education is that of soft ground etching at the Slade art school at University College of London in 2002, but credit should be given to the Saudi Art Centre in Jeddah where she first touched the oils in 1995. Hejazi, as is in the name, is a Saudi national, although born in Lebanon. She has a very adequate website and will share her appreciation of modern art and acclaimed female artists by posing with a Tate mug in front of photos of Frida Kahlo while using the colour orange to connect herself to both.Now looking at her galleries on line there are a number of sets to be seen, starting with her 'first exhibition' in 2001, which is like a blue group and then a year later there is a red group. Like the groups in the following years they seem to fit a scheme of abstraction and traditional symbols in which Hejazi was not the only one working in Saudi Arabia. Countries do have collective ideas about art. Judging from her online gallery from around 2006 the artist seems to express stronger opinions of her own design. There is more colour, more detail. And more tension, as can be seen in Missing Tattoo, the large (150 x 150 cm) painting illustrated here at the top, which works well on many levels of focus. The etching of the question mark measures only 10x10 cm and remember that Arabs read from right to left.Some of Hejazi's best paintings are part of a permanent collection by the name of Segia in Riyadh. One of them is convincingly red. (27 May 2010)."
Olafur  Eliasson,"b. 1967, Copenhagen, Denmark"
Omar  Berrada,"Omar Berrada is a writer, translator and critic who grew up in Casablanca and lives in Paris. Between 2004 and 2007, he was a producer for French National Radio and hosted La nuit la poésie and Lumières d’août on France Culture. He curated the Tangier International Book Salon in 2008, and hosted talks and conferences at the Centre Pompidou in Paris between 2006 and 2009. He currently directs the library and translation centre at Dar al-Ma’mûn in Marrakesh (www.dam-arts.org). He is a member of Double Change, a French and American association devoted to poetry and translation, and the intercultural arts foundation Tamaas.  He recently co-translated into French. Jalal Toufic’s The Withdrawal of Tradition Past a Surpassing Disaster (forthcoming, Les Prairies ordinaires, 2011)."
Omar Rajeh,"Omar Rajeh is a choreographer, dancer and artistic director of Maqamat Dance Theatre which he founded in 2002. He is also founder of BIPOD (Beirut International Platform of Dance), Autumn Dance, a research and exchange platform, the Maqamat Dance Studio-MT Dance Space and Takween-Beirut contemporary dance school. Intense and powerful, his work pushes the boundaries of dance and makes an essential contribution to the cultural and artistic scene in Beirut. Rajeh is also co-founder of Masahat Dance Network, a regional contemporary dance network across Lebanon, Syria, Palestine and Jordan."
Oraib Toukan,"Oraib Toukan works across media in photography, video, text and installation, often using politics and current affairs as source material. She often presents wry and playful critique in the form of subtle interventions with institutions ranging from Wikipedia to Christie’s."
Otobong Nkanga,"b. 1974, Kano, Nigeria"
Pablo  Lobato,"b. 1976, Bom Despacho, Brazil"
Panos Tsagaris,"Lives and works in New York. Tsagaris received his BFA from the Emily Carr Institute of Art & Design in Vancouver, Canada. Through his work Tsagaris aims to express the emanation of the “divine” as it is reflected through the beauty and poetry of the everyday, in order to bring himself and the viewer closer to a state of catharsis. Ultimately, Tsagaris’ work selflessly captures and reflects the divine spark that exists in the human soul. He has exhibited extensively in Miami, New York, Vancouver, Athens, Berlin, Milan, Paris and Hong Kong. Recent solo show: Clothed with the Sun, Kalfayan Galleries, Athens (2012). Recent group shows and performances include, among others: Picatrix: Davide Balliano & Panos Tsagaris, Galerie Michel Rein, Paris (2013) • THE GARDEN OF EDEN – EVIL – Near-Far, Palais de Tokyo, Paris (2012) • Gold, Imperial Belvedere Palace Museum, Vienna (2012) • The Quality of Presence, Chelsea Hotel, New York (2012) • OU.UN.PO. Symposium, archaeological site of Elefsina, Greece (2011) • The West at Sunset, Abrons Arts Center, New York (2010) • 2nd Thessaloniki Biennale – Performance Festival (Panos Tsagaris: Drawings and Performance titled: The Mystic Death of the Kiss) (2009). Panos Tsagaris is represented by Kalfayan Galleries, Athens – Thessaloniki./n"
Pantea Rahmani,"Born in 1971, Panthea Rahmani studied visual arts at the University of Teheran, her birthplace. From this time on, inspired by Balthus, Giacometti or Modigliani, the artist developed an interest in portraits, which she has been producing through painting or drawing."
Part-Time Suite,"Part-time Suite (est. 2009, Seoul, Republic of Korea) is a collaborative group formed by Miyeon Lee, Byungjae Lee and Jaeyoung Park. In 2009 they installed their projects Under Interior and off-off-stage in a basement and an unoccupied lot in the centre of Seoul, while their project Loop the Loop was developed on rooftops in Seoul as part of the exhibition Perspective Strikes Back at Doosan Gallery, which later travelled to L’appartment 22 in Rabat, Morocco. In 2010 the group formed Part-time Suite Sound, a four-piece rock band, and Part-time Suite Press, an independent publisher. In 2011 they were nominated for the Hermés Korea Foundation Art Prize."
Pascal Hachem,"The work of Pascal Hachem, whether through performances or installations, often starts with a diversion. Trained as an engineer, his knowledge of engines and materials give him a particular stance which he applies in creating artefacts and (often mechanized) installations. He uses daily objects and manages to extract their nature and their primary identity thanks to unusual associations and layouts. These machines inevitably cause a feeling of strangeness but paradoxically appear strangely familiar to whoever looks at them. A series of hammers slowly destroying a wall in a paced and almost liturgical motion, a t-shirt gradually torn under the weight of an accumulation of sand, knives gently emerging from a desert. These devices all unsettle the viewer whilst entailing issues of a political, social or environmental nature."
Pascale Marthine  Tayou,"b. 1967, Yaoundé, Cameroon"
Pedro  Reyes,"b. 1972, Mexico City, Mexico"
Peyman Hooshmandzadeh,"Born in 1969, Tehran, Iran"
Pouran-Jinchi,"Pouran Jinchi is an Iranian-born, New York artist who borrows from her home culture's traditions of literature and calligraphy to pursue her own aesthetic investigations. Having been trained in calligraphy, she finds the relation between words and forms, natural or non-objective, deeply intertwined. In Pouran's recent work, viewers will appreciate her increasingly detailed focus on the form of language as subject matter."
Pouya Parsamagham,"Pouya Parsamagham (born Tehran, 1981) studied graphic design and film-making, and has gone on to make documentaries, short films, and installation artworks. In What Lies Beneath, following his participation last year with a group of still image light boxes, Parsamagham presents a group of light boxes of different sizes, each displaying film clips of moving figures, captured on his phone. Chasing the characters with his camera, keeping the future of each running figure ominous, incomplete, intriguing, Parsamagham creates a dramatic and mysterious narrative. The fates of the characters, gathered from different fictional events and moments in time, are intertwined into this ongoing chase. Parsamagham’s work is developing in a time when technology is facilitating the constant monitoring and tracking of individuals."
Primož Novak,Contemporary art is nothing but a business - we take it as a joke.
Raafat Ishak,"Raafat Ishak was born in Cairo in 1967 and emigrated to live and work in Melbourne, Australia in 1982. He has participated in numerous group exhibitions, and recent solo shows include Raafat Ishak: Work in Progress at The Ian Potter Museum of Art, The University of Melbourne. His work is held in important public and private collections including the National Gallery of Victoria, Monash University Museum of Art, Melbourne, RACV, Melbourne and the State Government of Victoria. Raafat Ishak lives and works in Melbourne, Australia, and is represented by Sutton Gallery, Melbourne."
Raana-Farnoud,"Born in 1953, Iran"
Rabih Mroué,"Rabih Mroué is an actor, director, playwright, visual artist and contributing editor for The Drama Review (TDR).  He is also a co-founder and a board member of the Beirut Art Center (BAC), Beirut. Mroué’s work often explores sensitive and complex issues related to the impact of Lebanese history and politics on the contemporary life of the nation. However, his philosophical and aesthetic enquiry into the communicative responsibility of the artist enables his work to transcend political and cultural contexts. This is at the heart of his diverse, disciplined and constantly evolving practice in which theatre, film, performance and both visual and written arts are used to connect audiences to the immediate human reality of the artist. For Past of the Coming Days Mroué presented Theatre with Dirty Feet, a theatrical performance piece on the subject of theatre and art which ultimately questioned both the nature and purpose of itself."
Raed Yassin,"Raed Yassin was born in Beirut in 1979. He graduated from the theatre department at the Institute of Fine Arts in Beirut in 2003. An artist and musician, Yassin's work often originates from an examination of his personal narratives and their workings within a collective history, through the lens of consumer culture and mass production. He has exhibited and performed his work in numerous museums, festivals and venues across Europe, the Middle East, the United States and Japan,Yassin was awarded the Fidus Prize (2009), the Abraaj Capital Art Prize (2012), the AFAC grant for production (2010), the YATF grant for production (2008 & 2012) and the Cultural Resource grant for production (2008). Yassin is one of the organizers of IRTIJAL Festival, and has released several music albums and founded the production company Annihaya in 2009. He is also a founding member of""Atfal Ahdath""a Beirut based art collective. He currently lives and works in Beirut and represented by Kalfayan Galleries (Athens–Thessaloniki)./n/n"
Raed Yassin,"Raed Yassin is a video, sound and visual artist and musician whose strongly conceptual work uses image, music and text to explore themes such as contemporary communications media and news content, pop culture, urban existence, art history, Arabic cinema and archives. His has exhibited and performed across Europe, the Middle East, the United States and Japan featuring in such events as Homeworks 5, Beirut (2010), Manifesta 8, Murcia, Spain (2010),  The Guild Art Gallery, Mumbai (2009), the High Zero Festival of Improvised, Experimental Music, Baltimore (2009), Steim Studios , Amsterdam (2008) and Transmediale, Berlin (2007)."
Raeda Ashour,"Raeda Ashour (1958) is a member of the women's Saudiaat Art Group in Jeddah. Before returning to Saudi Arabia in 1991 she lived in Cairo where she worked in publishing. She has a BA in Middle East Studies from the American University of Cairo (1981). Having been a freelance artist for many years she joined workshops 'Geometry and pattern, adornment in islamic art' in 2006 and 2007 at The Prince's School of Traditional Arts in London. In 2007 she received a MA in arts education at Rushmore University."
Raeda Saadeh,"Raeda Saadeh was born in Um El Fahem in 1977. She received her BFA and MFA from Bezalel Academy of Arts and Design, Jerusalem. In 2000, she won the first Young Artist of the Year award, organised by the A.M. Qattan Foundation, London, UK/Ramallah, Palestine.‘Woman’ is a recurring subject in Saadeh’s installations and performance pieces, where she is represented as living in a state of occupation. This occupation or ‘occupying’ force is effected through political conditions in her environment and impacts on the otherwise peaceful quality of her world. Both private and public elements manipulate this world.Her work in photography, performance and video art has been exhibited widely and internationally in Europe and the United States. Her recent exhibitions include Re-Orientations: Contemporary Arab Representations, European Parliament, Brussels (2008), No Man’s Land, GEMAK Museum, The Hague, The Netherlands (2008), In Transit, House of World Cultures, Berlin, Germany (2008), Biennale Cuvée, O.K Centre for Contemporary Art, Linz, Austria (2008), Infr’Action – festival international d’art performance, Sète, France (2007), and About Time II, Nordjyllands Kunstmuseum, Aalborg, Denmark (2007). Her work was included in the Biennale of Sydney, Australia in 2006 and Sharjah Biennial 8 in 2007. She lives and works in Jerusalem.Saadeh’s video project Vacuum (2007) was screened in Sharjah Biennial 8."
Raffie  Davtian,"Raffie Davtian studied Sculpture at the State Academy of Arts in Yerevan. He works with photography, sculpture and installation, often focusing on the human body. He has had four solo exhibitions including Subjects-Objects of History and their Histories, Proekt_Fabrika, Moscow (20009), and Human Doors, Art and Cultural Studies Laboratory, Avant-garde Folk Music Club, Yerevan, Armenia (2007). Davitian has also taken part in more than a dozen group exhibitions and several film festivals worldwide. In 2005, he was given an honourable mention at the International Photography Awards in New York. He lives in Yerevan and Tehran."
Ramin  Haerizadeh,"Ramin Haerizadeh manipulates the medium of digital photography to create highly painterly and illusionistic imagery in which he casts himself as protagonist. Through the myriad forms and roles of his characters Ramin asks fundamental questions about social codes in his native Iran - both real and imagined. Mentored by Massoud Massoumi, Ramin’s photography was exhibited at Paris Photo and Cassia Assia (2004). Solo exhibitions include I’ll Huff and I’ll Puff, Gallery IVDE, Dubai (2010) and Melancholy of the Everyday, Studio 1.1, London (2007). He currently shares a studio with his brother, Rokni, in Dubai."
Ramin Haerizadeh,"Ramin Haerizadeh (b. Tehran, 1975) lives and works in Dubai."
Ramin Haerizadeh,"The paintings of Ramin Haerizadeh are a hybrid, a telescoping of found photographs and lascivious or vociferating self-portraits. He first organises these images on the canvas, then recovers or smudges them with acrylic paint. This results in sumptuous polychrome compositions, between kitsch and black humour, between ornamentation and Dadaist subversion. The austere and belligerent emblems of the Islamic power meet the sumptuous iconography associated with the Pahlavi dynasty, highlighting the irrational succession of ideological and cultural paradigms in contemporary Iran."
Ramtin Zad,"Born in 1984, Tehran, Iran"
Rana Begum,"Rana Begum received her Fine Art Degree in painting at the Chelsea College of Art and Design and her MFA in painting from the Slade School of Fine Art, both of London."
Rania  Stephan,"Rania Stephan is a filmmaker. Her career in film production has been long and diverse. She has worked as a sound engineer, camera editor, first assistant director and producer with renowned filmmakers such as Simone Bitton and Elia Suleiman. Her recent films include DAMAGE, For Gaza The Land of Sad Oranges (2009), Smoke on the Water, 7 X El Hermel (2007), Lebanon/War (2006), Wastelands (2005), Arrest at Manara & Kimo the Taxi (2003), and Train-Trains (where's the track?) (1999)."
Rania Attieh,"Rania Attieh is from Tripoli, Lebanon. She is an MFA graduate in Media Art Production as a writer/director of fiction from the City College of New York. She has recently received the New York Women in Film and Television grant. Her thesis film was awarded ‘Best Fiction film’ at the CCNY Cityvisions showcase."
Rania Moudaress,"Born in Damascus in 1981, Rania Moudaress graduated from the École Supérieure des Arts et Mode in Paris as well as from the Paris American Academy of Fashion and Art. She also holds a degree from the Higher Institute of Drama and Music in Damascus. Apart from being a visual artist, Moudaress is also a costume and graphic designer. She participated in several collective exhibitions and held a solo exhibition at the Fateh Moudaress Atelier. Her work explores the link between womanhood and nature, and the gap between dreams and reality. Her artworks are characterized by lines delicately constructed and the use of natural elements mixed with human faces or body parts."
Raqs Media Collective,"est. 1992, New Delhi, India"
Rasha Salti,http://www.sharjahart.org/people/people-by-alphabet/s/salti-rasha
Rasheed Araeen,"b. 1935, Karachi, PakistanLives and works in London, United Kingdom"
Rashid Masharawi,"Rashid Masharawi was born and raised in Shati refugee camp in the Gaza Strip. He is a self-taught filmmaker. In 1996 he founded the Cinema Production Centre (CPC) in Ramallah, Palestine, which organises workshops geared towards teaching young Palestinian filmmakers how to navigate the field of film production. In addition, the centre’s Mobile Cinema Department screens films in remote villages and refugee camps, bringing cinema to communities who are otherwise deprived of the opportunity to engage with quality films."
Ravi Agarwal,"b. 1958, New Delhi, India  Lives and works in New Delhi"
Rayyane Tabet,"Rayyane Tabet’s work has been concerned with researching hidden histories that are transformed and retold through his objects and installations. He received a Bachelors in Architecture (BArch) from The Cooper Union and is currently pursuing a Masters in Fine Arts (MFA) at the University of California, San Diego. His work has been featured in NOISE, Sfeir-Semler Gallery (2010), Art Now In Lebanon, Darat al Funun (2008) and has been included in the New Museum’s book Younger than Jesus: The Artist Directory, published by Phaidon Press (2009)."
Reem Al Ghaith,"In an installation entitled 'Dubai: What's left of her land' — part building site, part abstract sculpture and both chaotic and heroic in its arrangement of pulleys, tools, maps, cement and silhouetted workers — young Dubai artist Reem Al Ghaith simultaneously celebrates and critiques the voracious urbanisation of the region."
Reem Al-Faisal,Greenbox dictionary of Saudi Arabian artistsHome   Index
Regina José Galindo,"Regina José Galindo has exhibited widely throughout the Americas and Europe. Most recently, her work was shown at the 17th Sydney Biennial (2010) and the XXXI Pontevedra Biennial (2010). Galindo lives and works in Guatemala."
René Gabri,Rene Gabri is interested in the complex mechanisms which constitute the world around us. 
Reza Aramesh,"Reza Aramesh’s soon found his medium of predilection in photography - ideal form in which to meld his interest in the history of painting, film and literature with modern society and politics.In his series entitled, Between the Eye and the Object Falls a Shadow…, Aramesh freezes in black and white re-enacted scenes of disputes that took place in the Middle East or in Vietnam from the 1960 to the present day. These classic and dramatic scenes found their incongruous setting in lavish British homes and historical museums. This audacious subversion of space and time came to the fore in Aramesh’s Action 71. Here, Aramesh invited homeless individuals to spend their night in selected rooms of the Tate Britain, sleeping with portraits produced between the seventeenth and eighteenth century representing individuals that focused on status and lineage."
Richard Ibghy,"Since 2002, Richard Ibghy and Marilou Lemmens have developed a research-based practice that includes the production of art works, contributions to publications and lectures as well as frameworks for exhibitions. Their practice combines a minimalist approach to the form and construction of the art object, with an unyielding desire to make language visible. Recent solo exhibitions include Horse and Sparrow (New Gallery, Calgary, 2010) and The afterlives of books that set about changing society (VU, Quebec City, 2010). Ibghy and Lemmens have also participated and exhibited in several international festivals and events."
Rika Noguchi,"b. 1971, Saitama, JapanLives and works in Berlin, Germany"
Rimini Protokoll,"Helgard Haug (1969), Stefan Kaegi (1972) and Daniel Wetzel (1969) studied at the Institut für Angewandte Theaterwissenschaft in Giessen and work together (in various combinations) under the name of Rimini Protokoll. They are recognized as being among the leaders and creators of the theatre movement known as""Reality Trend""(Theater der Zeit), which has exerted a powerful influence on the alternative theatre scene. Each project begins with a concrete situation in a specific place and is then developed through an intense exploratory process. They have attracted international attention with their dramatic works, which take place in that grey zone between reality and fiction. Since 2000, Rimini Protokoll has brought its""theatre of experts""to the stage and into city spaces, interpreted by non-professional actors who are called""experts""for that very reason."
Robert MacPherson,"For over thirty years the artist Robert MacPherson has produced objects and installations in which he exploits the emotive tension between anonymous functional objects and a highly specific, visually allusive language with which they are named, often drawn from Australian working class slang."
Roberto Bellini,"Roberto Bellini earned a degree in Drawing from the School of Fine Arts, Federal University of the State of Minas Gerais, Brazil and recently completed his masters in Transmedia at the University of Texas, Austin. Over the past few years, his work has been shown in numerous film and video festivals across Europe and the Americas."
Rokni Haerizadeh,"Rokni Haerizadeh (b. Tehran, 1978) lives and works in Dubai."
Rokni Haerizadeh,"Rokni Haerizadeh is a painter known for his compositions, often in sets or themes, which weave together ancient fables and literary figures, contemporary film and political history. His oeuvre traverses various media including assemblage and performance-based work, in which he often collaborates with his brother Ramin. Rokni earned an MA from the University of Tehran and has held solo exhibitions in Dubai, Istanbul and Tehran. He participated in Unveiled: New Art from the Middle East, Saatchi Gallery, London (2009) and Be Crowned with Laurel in Oblivion, Thaddaeus Ropac, Paris (2010). He lives in Dubai."
Romeo Castellucci,"Romeo Castellucci founded the Socìetas Raffaello Sanzio in 1981 with his sister Claudia and his wife, the playwright Chiara Guidi. He then developed an original stage art, bringing together a range of art forms – theatre, music, painting, opera, mechanics, the creation of images – in order to reach his audience. His shows rest as much on arts and crafts as on the latest and most sophisticated technologies and the company has performed at major international theatres and festivals and has won numerous awards in Italy and abroad.During the 1990s, Romeo Castellucci took on classical texts as well as epics, notably Gilgamesh (1990), Hamlet (1992), L’Orestie (1997), Le Voyage au bout de la nuit (1998) and the Shakespeare-inspired Giulio Cesare (2001). He then embarked on a vast four-year-long project entitled Tragedia Endogonidia: a system of representations on the lyricism of suffering which, like a living organism, transforms itself in time and space depending on the path it takes from one creation to the next across European cities, from Berlin, Brussels, Bergen, Paris and Rome to Strasbourg, London, Marseille and Avignon. An episode of this work accompanied with a talk by Romeo Castellucci was screened for Past of the Coming Days.  The company has recently performed an ambitious trilogy developed around Dante’s La Divina Commedia and its latest project The Minister’s Black Veil will be premiered in Rennes in March 2011.Romeo Castellucci was born 1960 in Ceesena. He studied plastic arts at the school of Fine Arts in Bologna."
Rosalind Nashashibi,"Rosalind Nashashibi combines her singular observations with aspects of social documentary, theatrical staging and a cinematic overview to present uniquely crafted works in 16mm film and other media. Since graduating from Glasgow School of Art in 2000, Nashashibi has exhibited extensively including a major solo show in 2009 at the Institute for Contemporary Art, ICA, London, and Bergen Kunsthall, Norway. She recently presented work at the Pompidou Centre, Paris (2010), Manifesta 7, Trento (2008) and the Venice Biennale (2007). She is currently preparing a commissioned work on Gaza for the Imperial War Museum."
Rula Halawani,"Rula Halawani shoots and produces images of the changes taking place daily on the Palestinian territory. She explains “I am an artist, a photographer who lives and works in an intensely political environment (…) the question of making political art does not arise in the Palestinian context. Our existence is entirely defined, at all levels, by political circumstances. ”"
Runa  Islam,"b. 1970, Dhaka, Bangladesh"
Ryoji Ikeda,http://www.sharjahart.org/people/people-by-alphabet/i/ikeda-ryoji
Saâdane  Afif,"b. 1970, Vendome, FranceLives and works in Berlin, Germany"
Saâdane Afif,"In his work, Saâdane Afif favours a playful yet eclectic approach, which he tends to share with other artists from across the spectrum, involving musicians along with critics and writers. His working method is based on the idea of keeping the outcome open to all possibilities throughout the production of the piece, up until the final result. Whilst moving away from a more egotistic approach the artist quotes widely from other artists, involving materials and forms in a transformation cycle which is part of an entire process: his pieces are retrieved in order to be re-interpreted by other artists, in texts, musical scores, live performances, which produces new and dynamic objects which are hard to classify. Saâdane Afif thus maintains a great freedom in his method, swinging between a formal levity and a subtlety with underlying issues. He asks that the spectator think about the space he occupies in relationship to the artwork and its status."
Saad Bin Mohammed,"Saad Bin Mohammed was born in Jeddah in 1969. Saad's paintings - the result of a tumultuous journey of self-discovery and exploration - are what he describes as 'the essence of the Creator incarnate in creation'. As Saad admits, all his works are 'recreations of what already exists'. However, with his singular style and approach, he is able to create depictions of his turbulent inner emotions and feelings that are totally unique. 'All I am aware of is a turbulent struggle; a journey, that, as soon as it's anywhere near ending, starts all over again', says Saad. Though throughout his career Saad has been influenced by myriad artists, he attests that he doesn't 'follow' anyone; and, likewise, Saad is not an artist who wants to be 'followed', either. As Saad himself notes, 'I raise the white flag and surrender to what's within me, so it can emerge naturally without obstructing its due course. That is me. No one is to judge - they should only embrace or reject'."
Saba Innab,
Saddek Wasil,"Saddek Wasil (b. 1973 in Mecca, Saudi Arabia) is a sculptor who graduated with a Masters degree in Agricultural Sciences from King Abdul Aziz University. He is a member of a number of art societies, namely The Plastic Artist Home, The Association of Culture and The Arts, Saudi Society of Fine Arts and The Global Foundation for The Arts, in the United States of America."
Saddiek Mohammed Wasil,Saddiek Mohammed Wasil is a sculptor whose metal cast work was shown at Art Dubai 2009 by Athr Gallery from Jeddah.
Saeed Salem,"Born 1984 in Jeddah, Salem is of Yemeni decent. Having travelled to Malaysia for further education, he received a diploma in advertising from Limkokwing University in 2006. In 2007, he completed his bachelor degree in advertising from Curtin University, Perth, Australia. Photography was a module taught in his course, however paid little attention at the time. Having worked in several established photography and design studio’s, Salem set up a photography studio called 181 Degrees in 2009. His first major stint in the contemporary art world was through Edge of Arabia’s We Need to Talk exhibition in Jeddah where Salem began the project Neonland comprising of a series of iconic photographs capturing the essence of the cosmopolitan city of Jeddah."
Saeed Salem,"Born 1984 in Jeddah, Salem is of Yemeni decent. Having travelled to Malaysia for further education, he received a diploma in advertising from Limkokwing University in 2006. In 2007, he completed his bachelor degree in advertising from Curtin University, Perth, Australia. Photography was a module taught in his course, however paid little attention at the time. Having worked in several established photography and design studio’s, Salem set up a photography studio called 181 Degrees in 2009."
Saeed Salem,"Saeed Salem (1984) was born and raised in Jeddah, a place where Saudi's walk the sky sometimes. Salem is a photographer and has shown his art on both Flickr and deviantART using the name saeedesign. He has worked for Balfaqih Visual Communication Consultants and as art director for Promoaction DDB. In 2009 Salem established his own studio for which he now works as a commercial photographer and image retoucher. 181 Degrees' portfolio, as shown on it's website, includes photography for a number of well known firms, among which one notices shoemaker Puma, a company ready to look for and find independent creativity. Unilever and local importer of Japanese cars: Abdul Latif Jameel, have also worked with 181 Degrees. One wonders about the name. Is it 180 degrees reality and 1 degree the brush of Salem, or is it exactly the other way round? Never mind. Even within reality the salespeople at Daihatsu know that you can load a truck with only green melons or with all the stuff you collect in a lifetime. That truck needs a roof, I believe is the message. (27 May 2010)."
Safeya Binzagr,Safeya Binzagr (1940) is an artist who presents her work in her own museum. The 'Darat Safeya Binzagr' which opened in Jiddah in 2000 celebrates both the Saudi and Hijaz heritage.
Sahand Hesamiyan,"Sahand Hesamiyan, born in 1977 in Tehran, graduated from Tehran University with a BFA in Sculpture. He is the member of the managing board of the 6th Tehran Contemporary Sculpture Biennial. Sahand currently lives and works in Tehran."
Saleh Alzayer,Saleh Alzayer is an educator and sculptor at the department of art education at King Saud university in Riyadh. He has uploaded video's on youtube such as one on sculptures by Saudi graduate students and on working with clay.
Saloua Raouda Choucair,Saloua Raouda Choucair Infinite Structure 1963-5/nSaloua Raouda Choucair
Salwa Aleryani,"Born in 1982, Salwa Aleryani lives and works in Sana’a, the capital of her native Yemen. Following a BA in Graphic Design from the University of Petra in 2006, she was awarded a Fulbright scholarship and later received her MFA from Savannah College of Art and Design in the US."
Sam Shalabi,"Musician and composer Sam Shalabi is a central node in Montreal’s free improvisation scene and is well-known as the founding member of the Shalabi Effect, Nutsak and Hawaga. Shalabi also previously took part in the bands Detention, Po, ‘Gypt Gore, a trio with David Kristian and Alexandre St-Onge, among other formations. He has four solo albums titled Luteness (Squint Fucker Press, deleted), On Hashish (Alien8 Recordings), Eid and Osama. His style ranges from freeform psychedelic rock to the most oddball, abstract performances. Although mostly known as a guitarist, the highly versatile Shalabi also performs on oud and a variety of other instruments. More recently, he put together the Land Of Kush, a Big Band numbering with up to thirty musicians and singers, and inspired by the great 1960s and 1970s Egyptian big bands. It is these ensembles’ spirit of exploration and experimentation that is the inspiration behind Land Of Kush. They have released two albums with Constellation Records, Against the Day (2009) and Monogamy (2010)."
Sama Alshaibi,"Sama Alshaibi is a multi-media artist born in 1973 (Basra, Iraq) to an Iraqi father and Palestinian mother and is now a naturalized US citizen. Her early practice was based primarily in photography, video art and performance. Over the past several years, the scope expanded to include video/object hybrids, multimedia installations and sculpture."
Sama Alshaibi,"Sama Alshaibi is an artist born in 1973, in Basra, Iraq to an Iraqi father and Palestinian mother and is now a naturalized US citizen."
Samah Hijawi,Samah Hijawi is a cross-disciplinary visual artist whose recent work has focused on interventions in public spaces with projects that include participatory and performative elements.
Samer Omran,http://www.sharjahart.org/people/people-by-alphabet/o/omran-samer
Sami Al Turki,"Sami Al Turki was born in 1984, of Saudi nationality. He was raised in the port city of Jeddah and currently lives in Dubai, UAE. His parents ensured an upbringing with a broad vision between the two different cultures and traditions, bridging the gap between east and west."
Sami Al-Turki,Greenbox dictionary of Saudi Arabian artistsHome   Index
Samiah Khashoggi,"Samiah Khashoggi (1958) is a program director at the interior design faculty at Dar Al Hekma College in Jeddah. She was born in what the Saudi Gazette Internet October 21, 2008 edition said was the conservative area of Abha. Her parents emigrated when she was young and she attended the American School in Beirut. Her art education took place in the United Kingdom where she received a BA in interior design from the University of Kingston upon Thames. Later she did a MA in fine art at De Montfort College. She is a painter."
Samir Sayegh,"Master calligrapher, Samir Sayegh takes Arabic letters beyond the formal aesthetic of Arabic calligraphy. He presents them as universal forms and signs in which meaning emerges from the relationship between lines. Over the course of his distinguished career, Sayegh has exhibited across the Arab World and in Europe, and has also created works for buildings and mosques. He was a lecturer at the Architecture and Graphic  Design  Department of the American University of Beirut from 1993-2007. Sayegh is also a critic, poet and author of several studies and articles on contemporary and Islamic art."
Samira Badran,Samira Badran’s project for the 9th Sharjah Biennial Have a Pleasant Stay! was a visual and physical metaphor of the concept of suffocation and imprisonment based on the experience of passing through the dense and claustrophobic Qalandia checkpoint between Ramallah and Jerusalem.
Sara Naim,"Sara Naim (b. 1987, London) is a Syrian photographer who grew up between Dubai and London. She most recently received her MFA in Fine Art Media at The Slade School of Fine Art, London, after having moved to New York to work with Ryan McGinley. In 2010, Sara completed her BA Hons. (Photography) from London College of Communication."
Sara Rahbar,"Sara Rahbar was born in Tehran in 1976, shortly before the Iranian Revolution and the Iran-Iraq war, as a result of which her family was forced to leave the country. She grew up in the United States as part of the Iranian diaspora. She studied fashion and design at the Fashion Institute of Technology in New York (1999-2000), and then visual arts at Central Saint-Martin’s College in London (2004-5)."
Sara Rahbar,"b. 1976, Tehran, Iran"
Sara Ramo,"b. 1975, Madrid, Spain"
